id_registro,data_evento,cidade,operadora,evento,latitude,longitude,tecnologia,banda,earfcn,pci,rsrp,rsrq,sinr
1,2025-09-01 07:38:26,Belo Horizonte,BRASTEL,Ping,-19.938731,-44.031475,4G,B28 (700MHz),9627,380,-75.9,-5.1,6.5
2,2025-09-06 12:09:46,São Paulo,BRASTEL,YouTube,-23.47276,-46.700537,4G,B28 (700MHz),9586,142,-96.3,-5.8,6.6
3,2025-09-04 10:39:28,São Paulo,BRASTEL,YouTube,-23.576943,-46.719436,4G,B28 (700MHz),9603,353,-97.1,-7.8,12.9
4,2025-09-02 21:29:01,São Paulo,BRCOMUNICACAO,Ping,-23.560721,-46.677826,4G,B28 (700MHz),9496,143,-92.3,-9.4,1.3
5,2025-09-08 13:24:55,Rio de Janeiro,BRASTEL,Voz,-22.999316,-43.152631,4G,B28 (700MHz),9644,200,-85.2,-7.8,1.6
6,2025-09-01 21:34:11,São Paulo,BRASTEL,Voz,-23.513881,-46.716617,4G,B28 (700MHz),9589,1,-87.8,-11.7,18.6
7,2025-09-03 06:23:25,Belo Horizonte,BRASTEL,YouTube,-19.913498,-44.019708,4G,B28 (700MHz),9603,357,-86.9,-11.7,15.7
8,2025-09-01 17:31:49,São Paulo,BRCOMUNICACAO,YouTube,-23.569069,-46.593315,4G,B28 (700MHz),9617,470,-91.0,-6.6,18.2
9,2025-09-09 05:34:52,Brasília,BRCOMUNICACAO,HTTP,-15.831197,-47.803343,4G,B28 (700MHz),9627,122,-91.0,-11.3,1.7
10,2025-09-03 08:55:14,São Paulo,BRASTEL,Voz,-23.56692,-46.576874,4G,B28 (700MHz),9465,250,-97.0,-12.0,14.9
11,2025-09-05 15:39:48,São Paulo,BRASTEL,Voz,-23.453089,-46.582168,4G,B28 (700MHz),9503,468,-81.4,-7.1,19.9
12,2025-09-03 07:11:29,Vitória,BRASILCOM,Ping,-20.243738,-40.40559,4G,B28 (700MHz),9480,442,-82.1,-6.1,3.6
13,2025-09-08 14:32:04,Rio de Janeiro,BRCOMUNICACAO,Ping,-22.897045,-43.075181,4G,B28 (700MHz),9657,395,-103.2,-10.8,5.1
14,2025-09-09 02:39:50,Vitória,BRASTEL,HTTP,-20.229253,-40.382115,4G,B28 (700MHz),9641,104,-84.8,-6.0,1.9
15,2025-09-06 09:44:43,Belo Horizonte,BRASILCOM,HTTP,-19.85675,-43.857175,4G,B28 (700MHz),9609,211,-103.8,-8.5,10.6
16,2025-09-08 09:41:47,São Paulo,BRCOMUNICACAO,YouTube,-23.625307,-46.704842,4G,B28 (700MHz),9459,347,-96.0,-11.4,17.3
17,2025-09-03 17:11:16,Brasília,BRCOMUNICACAO,Voz,-15.856732,-47.825065,4G,B28 (700MHz),9613,125,-96.9,-9.2,18.5
18,2025-09-06 05:04:37,São Paulo,BRASTEL,Voz,-23.647751,-46.637018,4G,B28 (700MHz),9638,452,-108.5,-6.5,3.7
19,2025-09-09 18:32:52,Brasília,BRASTEL,YouTube,-15.877994,-47.88348,4G,B28 (700MHz),9509,466,-102.9,-10.0,3.9
20,2025-09-09 12:33:14,Vitória,BRASILCOM,Ping,-20.239289,-40.222082,4G,B28 (700MHz),9634,371,-101.2,-6.1,18.0
21,2025-09-10 11:41:43,São Paulo,BRCOMUNICACAO,Ping,-23.512183,-46.575767,4G,B28 (700MHz),9430,232,-97.1,-5.6,10.7
22,2025-09-07 15:16:04,Vitória,BRASILCOM,Ping,-20.347229,-40.396191,4G,B28 (700MHz),9628,78,-95.6,-9.7,0.6
23,2025-09-05 10:36:17,Vitória,BRASTEL,HTTP,-20.372733,-40.407243,4G,B28 (700MHz),9443,486,-78.4,-9.6,5.0
24,2025-09-07 19:25:40,Vitória,BRCOMUNICACAO,YouTube,-20.282919,-40.295095,4G,B28 (700MHz),9604,290,-105.1,-13.5,8.8
25,2025-09-05 23:45:41,São Paulo,BRASTEL,Ping,-23.631368,-46.697373,4G,B28 (700MHz),9593,299,-91.0,-13.5,-0.8
26,2025-09-04 05:53:38,São Paulo,BRCOMUNICACAO,HTTP,-23.642784,-46.728032,4G,B28 (700MHz),9641,494,-80.5,-10.9,0.0
27,2025-09-10 20:56:21,Vitória,BRASILCOM,Ping,-20.337087,-40.40739,4G,B28 (700MHz),9608,303,-97.7,-5.4,9.0
28,2025-09-09 13:40:26,Rio de Janeiro,BRASILCOM,YouTube,-22.95078,-43.220361,4G,B28 (700MHz),9491,374,-88.6,-12.9,0.5
29,2025-09-10 04:13:41,Belo Horizonte,BRASILCOM,HTTP,-19.945604,-44.030409,4G,B28 (700MHz),9642,299,-95.3,-7.8,14.2
30,2025-09-03 18:44:10,São Paulo,BRASILCOM,HTTP,-23.644018,-46.588654,4G,B28 (700MHz),9561,415,-97.5,-11.7,16.6
31,2025-09-05 19:30:40,Rio de Janeiro,BRCOMUNICACAO,YouTube,-22.915047,-43.253186,4G,B28 (700MHz),9438,49,-99.1,-12.6,7.1
32,2025-09-08 20:45:30,Belo Horizonte,BRASILCOM,Ping,-19.963516,-44.028518,4G,B28 (700MHz),9590,459,-84.1,-11.4,4.9
33,2025-09-10 18:56:24,Brasília,BRCOMUNICACAO,HTTP,-15.892307,-47.981116,4G,B28 (700MHz),9517,41,-83.5,-5.3,1.2
34,2025-09-03 06:17:00,Vitória,BRASTEL,Voz,-20.280274,-40.316381,4G,B28 (700MHz),9641,110,-91.0,-6.5,10.7
35,2025-09-07 10:22:29,Rio de Janeiro,BRCOMUNICACAO,HTTP,-22.848503,-43.168966,4G,B28 (700MHz),9438,425,-80.8,-8.4,6.6
36,2025-09-01 02:11:29,Brasília,BRASILCOM,Voz,-15.840172,-47.927101,4G,B28 (700MHz),9605,192,-104.5,-11.8,0.9
37,2025-09-06 21:51:13,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.831636,-43.950963,4G,B28 (700MHz),9537,286,-85.0,-6.7,18.9
38,2025-09-03 18:25:08,Vitória,BRASILCOM,YouTube,-20.289349,-40.21599,4G,B28 (700MHz),9494,5,-105.2,-10.9,7.3
39,2025-09-05 15:34:46,Vitória,BRASTEL,Ping,-20.362162,-40.221277,4G,B28 (700MHz),9551,168,-86.7,-5.4,5.5
40,2025-09-07 05:01:00,Belo Horizonte,BRASILCOM,Voz,-19.878554,-44.0119,4G,B28 (700MHz),9492,75,-94.4,-10.5,0.3
41,2025-09-02 12:41:41,Vitória,BRCOMUNICACAO,Ping,-20.277697,-40.283975,4G,B28 (700MHz),9469,441,-85.3,-5.9,20.0
42,2025-09-06 08:05:23,Brasília,BRASTEL,YouTube,-15.838271,-47.890631,4G,B28 (700MHz),9411,297,-93.4,-12.7,16.3
43,2025-09-09 12:56:28,Brasília,BRASTEL,HTTP,-15.761035,-47.90917,4G,B28 (700MHz),9454,410,-92.9,-6.6,12.1
44,2025-09-02 05:55:05,São Paulo,BRCOMUNICACAO,Voz,-23.642824,-46.665992,4G,B28 (700MHz),9427,391,-93.8,-13.8,4.9
45,2025-09-06 16:39:16,Brasília,BRASTEL,Voz,-15.820371,-47.834445,4G,B28 (700MHz),9412,444,-79.9,-9.9,6.9
46,2025-09-05 11:43:30,Vitória,BRCOMUNICACAO,HTTP,-20.387269,-40.255764,4G,B28 (700MHz),9615,270,-82.7,-5.7,8.3
47,2025-09-01 04:17:21,Brasília,BRASTEL,Voz,-15.823113,-47.8153,4G,B28 (700MHz),9427,290,-100.8,-12.2,19.7
48,2025-09-08 21:54:47,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.873803,-43.941373,4G,B28 (700MHz),9609,284,-79.0,-6.2,9.7
49,2025-09-05 02:23:32,Belo Horizonte,BRCOMUNICACAO,Voz,-19.83058,-43.962987,4G,B28 (700MHz),9650,12,-78.9,-12.0,13.3
50,2025-09-07 13:11:50,Vitória,BRASILCOM,HTTP,-20.395271,-40.325142,4G,B28 (700MHz),9410,55,-81.0,-10.0,13.3
51,2025-09-04 10:51:34,Belo Horizonte,BRASTEL,Ping,-19.963697,-44.008287,4G,B28 (700MHz),9658,59,-105.7,-9.8,20.0
52,2025-09-03 09:35:50,São Paulo,BRCOMUNICACAO,YouTube,-23.467251,-46.676287,4G,B28 (700MHz),9483,399,-80.2,-12.2,11.3
53,2025-09-09 22:50:56,Brasília,BRASTEL,YouTube,-15.7093,-47.899925,4G,B28 (700MHz),9637,64,-109.6,-6.7,9.1
54,2025-09-09 08:26:53,São Paulo,BRASILCOM,YouTube,-23.450801,-46.725741,4G,B28 (700MHz),9544,214,-75.2,-13.9,9.1
55,2025-09-08 10:13:17,Belo Horizonte,BRASILCOM,Voz,-19.861398,-43.990188,4G,B28 (700MHz),9644,208,-94.3,-8.5,-0.4
56,2025-09-03 14:13:12,São Paulo,BRASILCOM,YouTube,-23.647672,-46.547154,4G,B28 (700MHz),9528,301,-106.0,-10.3,10.2
57,2025-09-02 03:02:34,São Paulo,BRASILCOM,Voz,-23.558596,-46.683834,4G,B28 (700MHz),9606,420,-106.8,-5.3,4.6
58,2025-09-06 00:07:41,Belo Horizonte,BRASILCOM,HTTP,-19.823775,-43.891697,4G,B28 (700MHz),9507,297,-108.5,-9.0,6.8
59,2025-09-10 12:09:26,Rio de Janeiro,BRASILCOM,Ping,-22.944689,-43.230169,4G,B28 (700MHz),9516,136,-99.2,-12.2,16.0
60,2025-09-08 13:28:52,São Paulo,BRASILCOM,YouTube,-23.628734,-46.54187,4G,B28 (700MHz),9566,248,-85.8,-11.6,0.9
61,2025-09-01 00:33:11,Brasília,BRASTEL,YouTube,-15.732392,-47.884572,4G,B28 (700MHz),9658,281,-89.0,-8.2,9.8
62,2025-09-03 14:11:29,Vitória,BRCOMUNICACAO,YouTube,-20.349434,-40.357387,4G,B28 (700MHz),9555,379,-75.4,-10.6,8.3
63,2025-09-01 00:28:24,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.893886,-43.090585,4G,B28 (700MHz),9475,471,-95.5,-5.2,17.0
64,2025-09-07 00:04:28,Brasília,BRCOMUNICACAO,Voz,-15.881108,-47.834548,4G,B28 (700MHz),9609,464,-106.7,-6.0,18.4
65,2025-09-02 23:10:42,Brasília,BRASTEL,YouTube,-15.710677,-47.953848,4G,B28 (700MHz),9570,489,-102.5,-12.7,1.5
66,2025-09-03 21:24:59,São Paulo,BRCOMUNICACAO,HTTP,-23.487294,-46.537908,4G,B28 (700MHz),9540,285,-86.1,-13.0,18.4
67,2025-09-02 03:05:22,Vitória,BRCOMUNICACAO,HTTP,-20.255404,-40.294955,4G,B28 (700MHz),9536,172,-100.7,-6.6,14.8
68,2025-09-03 02:49:44,Brasília,BRCOMUNICACAO,Ping,-15.778675,-47.911254,4G,B28 (700MHz),9574,69,-101.8,-13.5,14.8
69,2025-09-03 05:20:13,Belo Horizonte,BRASTEL,Voz,-19.943427,-43.920213,4G,B28 (700MHz),9439,273,-77.0,-10.8,18.8
70,2025-09-04 22:45:42,Belo Horizonte,BRASTEL,Ping,-19.849208,-44.004723,4G,B28 (700MHz),9446,301,-97.3,-5.9,2.0
71,2025-09-02 02:50:51,Belo Horizonte,BRASILCOM,HTTP,-19.888459,-43.880856,4G,B28 (700MHz),9411,436,-82.5,-11.7,10.2
72,2025-09-04 21:42:30,São Paulo,BRASILCOM,HTTP,-23.609287,-46.562396,4G,B28 (700MHz),9427,310,-99.0,-6.6,14.0
73,2025-09-08 02:16:02,Rio de Janeiro,BRCOMUNICACAO,YouTube,-22.921647,-43.207625,4G,B28 (700MHz),9416,403,-75.8,-11.9,19.5
74,2025-09-02 13:03:34,Brasília,BRASILCOM,Ping,-15.784867,-47.797138,4G,B28 (700MHz),9561,302,-93.3,-5.1,13.9
75,2025-09-04 19:28:50,Rio de Janeiro,BRASTEL,HTTP,-22.939081,-43.272758,4G,B28 (700MHz),9421,408,-95.7,-8.7,-0.2
76,2025-09-05 14:49:26,Vitória,BRASTEL,YouTube,-20.317986,-40.379351,4G,B28 (700MHz),9467,439,-103.4,-8.4,6.0
77,2025-09-04 01:41:26,Brasília,BRASILCOM,HTTP,-15.727988,-47.783911,4G,B28 (700MHz),9446,351,-78.7,-8.8,14.2
78,2025-09-04 13:16:09,Brasília,BRASTEL,YouTube,-15.716183,-47.924822,4G,B28 (700MHz),9603,166,-98.7,-13.9,3.2
79,2025-09-03 12:05:46,Belo Horizonte,BRCOMUNICACAO,HTTP,-19.909375,-43.982797,4G,B28 (700MHz),9657,393,-109.2,-10.1,13.4
80,2025-09-05 00:13:30,Rio de Janeiro,BRASILCOM,YouTube,-22.814091,-43.092376,4G,B28 (700MHz),9424,401,-84.5,-5.1,9.4
81,2025-09-09 21:06:06,Vitória,BRCOMUNICACAO,Voz,-20.349512,-40.336347,4G,B28 (700MHz),9477,284,-104.6,-6.2,3.6
82,2025-09-05 10:54:50,Brasília,BRASILCOM,Voz,-15.823648,-47.92872,4G,B28 (700MHz),9598,139,-79.4,-6.8,2.3
83,2025-09-03 23:42:19,São Paulo,BRASILCOM,Voz,-23.501183,-46.650164,4G,B28 (700MHz),9475,472,-103.4,-12.0,3.6
84,2025-09-07 03:05:47,São Paulo,BRASILCOM,HTTP,-23.588389,-46.720538,4G,B28 (700MHz),9622,67,-93.8,-7.3,15.4
85,2025-09-02 10:57:42,Belo Horizonte,BRASTEL,YouTube,-19.866879,-43.846991,4G,B28 (700MHz),9658,413,-94.7,-6.3,3.1
86,2025-09-08 18:28:52,Rio de Janeiro,BRASTEL,HTTP,-22.987618,-43.237596,4G,B28 (700MHz),9460,155,-102.1,-10.0,9.1
87,2025-09-02 09:55:24,Belo Horizonte,BRASILCOM,Ping,-19.820633,-43.963576,4G,B28 (700MHz),9497,127,-78.8,-10.9,15.0
88,2025-09-03 18:46:42,Brasília,BRASTEL,HTTP,-15.753633,-47.864376,4G,B28 (700MHz),9510,66,-79.5,-5.3,1.7
89,2025-09-03 03:11:41,São Paulo,BRASTEL,YouTube,-23.493381,-46.630747,4G,B28 (700MHz),9547,286,-96.8,-12.1,17.7
90,2025-09-08 01:46:44,São Paulo,BRASILCOM,Ping,-23.615291,-46.612411,4G,B28 (700MHz),9451,495,-101.1,-11.3,13.4
91,2025-09-06 16:12:49,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.81396,-43.248869,4G,B28 (700MHz),9584,3,-85.7,-10.7,8.8
92,2025-09-03 01:59:49,Vitória,BRCOMUNICACAO,HTTP,-20.266185,-40.287425,4G,B28 (700MHz),9412,247,-92.7,-12.5,14.1
93,2025-09-04 09:18:19,Vitória,BRASILCOM,Ping,-20.304763,-40.322323,4G,B28 (700MHz),9511,468,-108.2,-11.7,2.1
94,2025-09-01 18:57:18,Brasília,BRASTEL,YouTube,-15.721841,-47.841102,4G,B28 (700MHz),9464,458,-95.1,-9.1,6.3
95,2025-09-09 11:47:43,Brasília,BRASILCOM,Ping,-15.808497,-47.923786,4G,B28 (700MHz),9633,285,-103.5,-6.6,10.3
96,2025-09-09 16:37:31,Rio de Janeiro,BRASTEL,Ping,-22.872779,-43.191714,4G,B28 (700MHz),9623,366,-86.1,-13.8,6.5
97,2025-09-03 10:35:45,Vitória,BRCOMUNICACAO,Ping,-20.250904,-40.275283,4G,B28 (700MHz),9635,49,-93.7,-10.1,15.5
98,2025-09-08 23:30:37,Rio de Janeiro,BRASILCOM,Ping,-22.91123,-43.183014,4G,B28 (700MHz),9416,297,-82.7,-11.9,18.0
99,2025-09-06 18:20:37,Rio de Janeiro,BRCOMUNICACAO,YouTube,-22.848548,-43.087264,4G,B28 (700MHz),9545,120,-107.2,-5.7,13.6
100,2025-09-09 03:48:27,Vitória,BRASTEL,YouTube,-20.336807,-40.230399,4G,B28 (700MHz),9499,90,-93.1,-6.5,7.9
101,2025-09-06 06:39:40,Vitória,BRASILCOM,HTTP,-20.30301,-40.280468,4G,B28 (700MHz),9550,13,-105.3,-9.5,-0.6
102,2025-09-04 08:51:20,Brasília,BRASILCOM,Voz,-15.840557,-47.798862,4G,B28 (700MHz),9478,15,-76.1,-8.8,-0.1
103,2025-09-06 22:49:32,São Paulo,BRASTEL,YouTube,-23.592201,-46.559571,4G,B28 (700MHz),9422,455,-103.1,-9.5,14.0
104,2025-09-05 13:28:40,São Paulo,BRCOMUNICACAO,Voz,-23.457453,-46.551223,4G,B28 (700MHz),9613,488,-108.1,-7.0,12.6
105,2025-09-05 11:04:32,Belo Horizonte,BRASTEL,Ping,-19.834992,-43.968455,4G,B28 (700MHz),9589,382,-108.6,-6.2,13.8
106,2025-09-09 17:25:37,Belo Horizonte,BRCOMUNICACAO,Ping,-19.943539,-44.012531,4G,B28 (700MHz),9611,166,-79.7,-11.3,3.1
107,2025-09-09 23:09:37,São Paulo,BRASILCOM,Voz,-23.553293,-46.537253,4G,B28 (700MHz),9554,13,-86.8,-11.4,11.4
108,2025-09-07 19:55:15,Rio de Janeiro,BRASILCOM,Voz,-22.876765,-43.103289,4G,B28 (700MHz),9580,327,-83.8,-6.1,5.4
109,2025-09-09 00:07:41,Belo Horizonte,BRASILCOM,Voz,-19.955695,-43.847212,4G,B28 (700MHz),9525,232,-106.9,-11.0,10.1
110,2025-09-10 10:32:54,Vitória,BRASTEL,YouTube,-20.377003,-40.262293,4G,B28 (700MHz),9466,61,-94.9,-9.3,2.3
111,2025-09-08 05:57:38,Vitória,BRASILCOM,Ping,-20.321141,-40.390914,4G,B28 (700MHz),9433,227,-100.7,-6.2,10.6
112,2025-09-05 09:27:12,Rio de Janeiro,BRASILCOM,YouTube,-22.955066,-43.156112,4G,B28 (700MHz),9450,64,-108.4,-7.3,18.4
113,2025-09-09 00:06:09,São Paulo,BRASTEL,HTTP,-23.459772,-46.546881,4G,B28 (700MHz),9598,296,-93.7,-11.0,9.6
114,2025-09-05 09:32:33,São Paulo,BRASILCOM,Voz,-23.573914,-46.620999,4G,B28 (700MHz),9518,108,-93.3,-5.4,1.4
115,2025-09-03 04:58:09,Belo Horizonte,BRCOMUNICACAO,Voz,-19.826398,-43.87444,4G,B28 (700MHz),9475,345,-97.0,-7.5,14.0
116,2025-09-02 12:26:45,Belo Horizonte,BRCOMUNICACAO,Ping,-19.949198,-43.854634,4G,B28 (700MHz),9491,144,-107.0,-6.6,4.4
117,2025-09-09 06:55:05,São Paulo,BRASTEL,Voz,-23.545423,-46.546756,4G,B28 (700MHz),9589,308,-85.0,-5.4,8.4
118,2025-09-03 20:30:49,Brasília,BRCOMUNICACAO,HTTP,-15.855675,-47.845676,4G,B28 (700MHz),9442,61,-104.8,-5.3,11.7
119,2025-09-08 17:57:00,Brasília,BRASTEL,Voz,-15.837066,-47.787613,4G,B28 (700MHz),9482,35,-85.4,-12.1,9.8
120,2025-09-09 11:26:57,Vitória,BRASILCOM,Voz,-20.38107,-40.402577,4G,B28 (700MHz),9534,84,-83.9,-7.5,18.1
121,2025-09-04 07:25:39,Rio de Janeiro,BRCOMUNICACAO,HTTP,-22.889557,-43.214346,4G,B28 (700MHz),9419,256,-86.3,-10.8,4.6
122,2025-09-04 20:01:28,Belo Horizonte,BRASTEL,Voz,-19.876575,-43.915263,4G,B28 (700MHz),9585,46,-79.6,-13.7,0.9
123,2025-09-07 19:30:09,São Paulo,BRCOMUNICACAO,Ping,-23.560673,-46.632989,4G,B28 (700MHz),9431,136,-81.9,-8.7,-0.5
124,2025-09-07 22:06:21,Belo Horizonte,BRASILCOM,Voz,-19.929083,-43.853945,4G,B28 (700MHz),9647,383,-79.2,-8.5,14.2
125,2025-09-02 04:37:18,Belo Horizonte,BRASTEL,HTTP,-19.935273,-43.933522,4G,B28 (700MHz),9532,463,-76.4,-9.6,6.1
126,2025-09-07 12:28:59,São Paulo,BRCOMUNICACAO,YouTube,-23.608435,-46.673681,4G,B28 (700MHz),9491,456,-78.8,-8.6,9.4
127,2025-09-10 02:32:32,Vitória,BRASILCOM,Voz,-20.35727,-40.324078,4G,B28 (700MHz),9500,257,-106.8,-7.2,13.8
128,2025-09-05 22:23:37,Belo Horizonte,BRCOMUNICACAO,Ping,-20.001487,-43.956134,4G,B28 (700MHz),9612,252,-106.8,-13.5,0.3
129,2025-09-01 06:27:43,Rio de Janeiro,BRASILCOM,Ping,-22.955781,-43.267948,4G,B28 (700MHz),9536,290,-90.0,-7.6,11.3
130,2025-09-09 01:48:46,Brasília,BRCOMUNICACAO,Voz,-15.893058,-47.879918,4G,B28 (700MHz),9501,62,-99.4,-12.0,19.7
131,2025-09-03 20:00:53,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.874429,-43.073378,4G,B28 (700MHz),9487,446,-83.4,-7.2,18.7
132,2025-09-07 06:52:26,Rio de Janeiro,BRASILCOM,YouTube,-23.005193,-43.11873,4G,B28 (700MHz),9541,196,-91.9,-5.9,15.1
133,2025-09-09 11:58:36,Rio de Janeiro,BRASTEL,YouTube,-22.889823,-43.120634,4G,B28 (700MHz),9457,67,-78.1,-11.8,1.3
134,2025-09-02 09:49:42,Belo Horizonte,BRASTEL,YouTube,-19.839491,-43.928326,4G,B28 (700MHz),9526,73,-100.7,-6.0,8.0
135,2025-09-09 17:46:49,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.946967,-43.117973,4G,B28 (700MHz),9440,77,-107.8,-12.3,16.8
136,2025-09-06 20:18:05,Belo Horizonte,BRASILCOM,YouTube,-19.93434,-43.937541,4G,B28 (700MHz),9538,297,-100.9,-12.0,18.9
137,2025-09-04 23:27:10,Brasília,BRASTEL,YouTube,-15.759727,-47.967455,4G,B28 (700MHz),9504,288,-86.5,-10.2,17.4
138,2025-09-07 08:14:04,Brasília,BRCOMUNICACAO,Voz,-15.832467,-47.873353,4G,B28 (700MHz),9652,160,-101.2,-10.3,17.0
139,2025-09-01 06:52:21,Vitória,BRCOMUNICACAO,Voz,-20.356999,-40.402877,4G,B28 (700MHz),9589,282,-108.9,-8.5,5.1
140,2025-09-06 15:13:36,Vitória,BRASILCOM,YouTube,-20.390087,-40.340814,4G,B28 (700MHz),9536,127,-82.6,-9.2,0.0
141,2025-09-08 18:30:35,São Paulo,BRASTEL,Voz,-23.63612,-46.648916,4G,B28 (700MHz),9632,210,-108.6,-5.4,10.9
