id_registro,data_evento,cidade,operadora,evento,latitude,longitude,tecnologia,banda,earfcn,pci,rsrp,rsrq,sinr
1,2025-09-02 04:24:57,Vitória,BRCOMUNICACAO,HTTP,-20.369529,-40.253781,5G,n78 (3500MHz),633894,434,-72.2,-12.6,5.8
2,2025-09-04 18:14:30,Belo Horizonte,BRCOMUNICACAO,Ping,-19.845084,-43.907972,5G,n78 (3500MHz),647666,159,-84.8,-13.6,11.7
3,2025-09-09 10:21:02,São Paulo,BRASILCOM,HTTP,-23.472602,-46.560781,5G,n78 (3500MHz),634078,483,-103.6,-9.0,26.9
4,2025-09-06 19:27:01,Belo Horizonte,BRASILCOM,Ping,-19.833301,-43.930668,5G,n78 (3500MHz),652501,843,-101.3,-5.1,0.2
5,2025-09-04 12:02:54,São Paulo,BRCOMUNICACAO,Voz,-23.496705,-46.585594,5G,n78 (3500MHz),676599,257,-79.9,-6.9,27.5
6,2025-09-03 06:36:02,Brasília,BRASTEL,Voz,-15.770716,-47.900906,5G,n78 (3500MHz),650037,687,-80.7,-13.6,10.6
7,2025-09-05 09:44:31,Brasília,BRASTEL,Voz,-15.830659,-47.91664,5G,n78 (3500MHz),678796,943,-93.9,-11.8,23.8
8,2025-09-06 03:56:28,São Paulo,BRASILCOM,HTTP,-23.578165,-46.691279,5G,n78 (3500MHz),674829,162,-84.7,-7.4,6.1
9,2025-09-08 19:24:34,Brasília,BRASILCOM,YouTube,-15.837572,-47.823579,5G,n78 (3500MHz),635225,360,-103.4,-8.9,11.3
10,2025-09-02 08:21:25,São Paulo,BRCOMUNICACAO,YouTube,-23.556181,-46.649631,5G,n78 (3500MHz),665783,995,-81.3,-12.4,0.9
11,2025-09-02 02:09:54,Rio de Janeiro,BRASILCOM,YouTube,-22.948727,-43.271405,5G,n78 (3500MHz),679256,650,-97.3,-7.6,6.4
12,2025-09-01 10:37:04,Rio de Janeiro,BRASILCOM,HTTP,-22.976045,-43.227667,5G,n78 (3500MHz),642992,778,-74.0,-6.1,25.2
13,2025-09-09 23:30:27,Brasília,BRCOMUNICACAO,YouTube,-15.83665,-47.8342,5G,n78 (3500MHz),620507,560,-97.3,-8.8,26.3
14,2025-09-07 10:56:45,São Paulo,BRASTEL,Voz,-23.594015,-46.626335,5G,n78 (3500MHz),672407,175,-74.5,-10.1,26.7
15,2025-09-05 03:45:40,Brasília,BRASTEL,HTTP,-15.891038,-47.89691,5G,n78 (3500MHz),666895,471,-78.7,-5.4,22.0
16,2025-09-03 16:06:12,Brasília,BRCOMUNICACAO,Voz,-15.829147,-47.875923,5G,n78 (3500MHz),663088,433,-104.5,-7.7,2.6
17,2025-09-10 08:38:35,São Paulo,BRASILCOM,Voz,-23.577548,-46.707769,5G,n78 (3500MHz),621147,13,-94.4,-10.3,15.7
18,2025-09-08 23:44:31,Brasília,BRASTEL,YouTube,-15.74219,-47.822789,5G,n78 (3500MHz),638917,382,-91.1,-5.2,6.0
19,2025-09-01 10:02:45,São Paulo,BRASILCOM,Ping,-23.522504,-46.661949,5G,n78 (3500MHz),652162,756,-93.9,-7.0,29.4
20,2025-09-04 06:47:34,Belo Horizonte,BRASTEL,YouTube,-19.954407,-43.840185,5G,n78 (3500MHz),673234,831,-70.2,-6.1,9.1
21,2025-09-01 20:30:13,Brasília,BRASTEL,HTTP,-15.844119,-47.949414,5G,n78 (3500MHz),630730,343,-98.0,-12.2,25.3
22,2025-09-05 23:00:59,Belo Horizonte,BRASILCOM,Ping,-19.966693,-43.865788,5G,n78 (3500MHz),665051,474,-88.6,-7.5,21.1
23,2025-09-10 13:42:43,Brasília,BRASILCOM,Voz,-15.765586,-47.961023,5G,n78 (3500MHz),657850,174,-75.8,-11.1,4.9
24,2025-09-08 21:27:20,Brasília,BRASILCOM,HTTP,-15.731889,-47.949787,5G,n78 (3500MHz),664533,900,-77.9,-12.9,28.9
25,2025-09-10 18:06:52,Vitória,BRASTEL,Ping,-20.365986,-40.221697,5G,n78 (3500MHz),678150,541,-72.8,-7.7,15.6
26,2025-09-10 00:15:09,Vitória,BRCOMUNICACAO,Voz,-20.290074,-40.34952,5G,n78 (3500MHz),664534,779,-70.3,-9.3,20.7
27,2025-09-05 12:11:05,Belo Horizonte,BRASILCOM,Voz,-19.885059,-43.980264,5G,n78 (3500MHz),633712,328,-88.4,-6.2,19.8
28,2025-09-08 20:41:55,São Paulo,BRASTEL,Voz,-23.583988,-46.727295,5G,n78 (3500MHz),630991,791,-101.9,-12.2,29.3
29,2025-09-02 20:31:36,Brasília,BRASTEL,HTTP,-15.768195,-47.970401,5G,n78 (3500MHz),660703,741,-71.4,-9.1,25.6
30,2025-09-03 01:09:42,Belo Horizonte,BRASTEL,YouTube,-19.820135,-43.962979,5G,n78 (3500MHz),652871,953,-102.6,-13.3,2.1
31,2025-09-04 08:15:23,Rio de Janeiro,BRASTEL,Voz,-22.99736,-43.13883,5G,n78 (3500MHz),645495,509,-100.1,-12.7,21.2
32,2025-09-02 09:16:10,Rio de Janeiro,BRASILCOM,Ping,-22.925871,-43.258938,5G,n78 (3500MHz),659988,586,-101.2,-6.6,4.1
33,2025-09-05 17:18:09,Vitória,BRCOMUNICACAO,YouTube,-20.343134,-40.289267,5G,n78 (3500MHz),628190,143,-101.9,-13.3,11.2
34,2025-09-01 13:57:29,São Paulo,BRCOMUNICACAO,HTTP,-23.487862,-46.623817,5G,n78 (3500MHz),622525,657,-70.7,-10.2,13.7
35,2025-09-03 07:45:25,Vitória,BRASTEL,Voz,-20.271357,-40.331513,5G,n78 (3500MHz),623920,837,-95.0,-7.2,17.6
36,2025-09-09 21:13:30,Vitória,BRASTEL,YouTube,-20.391156,-40.311401,5G,n78 (3500MHz),657559,728,-95.6,-11.5,19.6
37,2025-09-09 20:49:35,Rio de Janeiro,BRASILCOM,HTTP,-22.848847,-43.236851,5G,n78 (3500MHz),638259,290,-81.5,-10.1,20.5
38,2025-09-06 06:07:52,Vitória,BRASILCOM,YouTube,-20.252404,-40.380202,5G,n78 (3500MHz),655174,767,-83.8,-11.8,9.8
39,2025-09-03 14:06:28,Brasília,BRASILCOM,Ping,-15.878084,-47.855445,5G,n78 (3500MHz),651837,470,-93.4,-10.3,17.4
40,2025-09-04 12:19:13,São Paulo,BRCOMUNICACAO,YouTube,-23.643191,-46.724862,5G,n78 (3500MHz),660612,175,-94.5,-8.8,5.1
41,2025-09-10 01:34:24,Belo Horizonte,BRASTEL,YouTube,-19.866183,-43.946402,5G,n78 (3500MHz),672027,330,-80.4,-10.9,14.0
42,2025-09-05 10:45:51,São Paulo,BRASTEL,HTTP,-23.549888,-46.700772,5G,n78 (3500MHz),672804,881,-72.5,-10.9,7.7
43,2025-09-07 21:07:46,São Paulo,BRASTEL,YouTube,-23.562749,-46.543741,5G,n78 (3500MHz),643970,980,-77.9,-7.6,16.6
44,2025-09-05 15:13:01,Belo Horizonte,BRASILCOM,HTTP,-19.863333,-43.889945,5G,n78 (3500MHz),640178,782,-88.6,-5.1,0.2
45,2025-09-06 21:30:03,Vitória,BRASTEL,Voz,-20.376741,-40.255486,5G,n78 (3500MHz),637123,943,-76.6,-10.3,27.9
46,2025-09-04 16:10:56,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.897165,-43.981971,5G,n78 (3500MHz),644281,705,-80.8,-7.9,25.8
47,2025-09-06 04:06:56,São Paulo,BRASTEL,YouTube,-23.533052,-46.652001,5G,n78 (3500MHz),629495,540,-84.2,-11.0,14.3
48,2025-09-04 01:50:28,Brasília,BRCOMUNICACAO,Ping,-15.856014,-47.941329,5G,n78 (3500MHz),652049,379,-81.9,-12.2,2.5
49,2025-09-03 03:50:59,Vitória,BRASILCOM,YouTube,-20.38427,-40.374204,5G,n78 (3500MHz),664432,335,-81.1,-12.6,14.7
50,2025-09-05 05:24:35,Belo Horizonte,BRCOMUNICACAO,Voz,-19.9046,-43.900723,5G,n78 (3500MHz),675692,420,-86.6,-7.4,5.7
51,2025-09-09 02:24:36,Vitória,BRASILCOM,Ping,-20.401857,-40.386199,5G,n78 (3500MHz),653778,915,-94.3,-5.5,3.8
52,2025-09-01 07:18:56,Brasília,BRASTEL,Ping,-15.839272,-47.808673,5G,n78 (3500MHz),679283,685,-97.7,-7.7,19.7
53,2025-09-06 17:13:18,São Paulo,BRASILCOM,Voz,-23.633954,-46.687413,5G,n78 (3500MHz),665673,953,-84.6,-13.7,12.1
54,2025-09-02 14:13:29,Brasília,BRCOMUNICACAO,Voz,-15.707036,-47.803066,5G,n78 (3500MHz),643310,706,-93.7,-8.6,9.4
55,2025-09-01 14:28:21,Brasília,BRASILCOM,Voz,-15.788467,-47.807942,5G,n78 (3500MHz),676710,491,-73.0,-13.6,11.7
56,2025-09-04 15:12:19,Belo Horizonte,BRASILCOM,HTTP,-20.010888,-43.940071,5G,n78 (3500MHz),678866,598,-72.5,-9.4,20.8
57,2025-09-07 10:45:27,Rio de Janeiro,BRCOMUNICACAO,HTTP,-22.918266,-43.224007,5G,n78 (3500MHz),664006,807,-84.9,-7.4,13.6
58,2025-09-08 23:37:26,Rio de Janeiro,BRASILCOM,HTTP,-22.912309,-43.140458,5G,n78 (3500MHz),626687,366,-73.1,-5.6,16.1
59,2025-09-08 17:51:42,Vitória,BRASTEL,YouTube,-20.358656,-40.245125,5G,n78 (3500MHz),657588,972,-70.4,-5.1,15.5
60,2025-09-05 15:14:59,Vitória,BRCOMUNICACAO,HTTP,-20.372163,-40.351719,5G,n78 (3500MHz),661865,977,-86.0,-13.7,2.9
61,2025-09-04 21:44:45,Vitória,BRCOMUNICACAO,Ping,-20.256672,-40.362672,5G,n78 (3500MHz),665422,1,-77.1,-11.5,3.8
62,2025-09-06 00:02:38,São Paulo,BRASTEL,Ping,-23.577084,-46.581578,5G,n78 (3500MHz),676460,969,-90.4,-11.5,17.0
63,2025-09-10 18:21:24,Brasília,BRCOMUNICACAO,Ping,-15.87793,-47.916883,5G,n78 (3500MHz),631691,194,-86.3,-10.0,3.1
64,2025-09-01 10:29:14,Vitória,BRASTEL,YouTube,-20.216871,-40.236059,5G,n78 (3500MHz),672409,38,-91.9,-6.1,8.1
65,2025-09-07 19:45:09,Brasília,BRASILCOM,Voz,-15.884484,-47.819764,5G,n78 (3500MHz),645024,359,-99.0,-9.5,17.6
66,2025-09-05 17:47:25,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.851282,-43.132335,5G,n78 (3500MHz),633710,194,-104.7,-12.8,11.2
67,2025-09-04 12:55:28,Rio de Janeiro,BRCOMUNICACAO,YouTube,-22.839179,-43.243151,5G,n78 (3500MHz),645993,374,-89.2,-9.8,22.2
68,2025-09-08 16:53:26,São Paulo,BRASTEL,Ping,-23.525985,-46.636624,5G,n78 (3500MHz),665665,829,-85.2,-6.7,5.6
69,2025-09-04 02:32:46,Vitória,BRASTEL,Ping,-20.28352,-40.369568,5G,n78 (3500MHz),662277,529,-73.4,-8.7,28.7
70,2025-09-06 02:28:00,Rio de Janeiro,BRCOMUNICACAO,HTTP,-22.860642,-43.089696,5G,n78 (3500MHz),675282,687,-103.5,-5.1,14.7
71,2025-09-07 04:01:54,Belo Horizonte,BRASILCOM,HTTP,-20.005564,-43.973905,5G,n78 (3500MHz),672188,582,-76.1,-6.5,3.4
72,2025-09-07 16:48:46,Brasília,BRASILCOM,Ping,-15.854554,-47.946099,5G,n78 (3500MHz),626533,472,-76.3,-5.0,26.3
73,2025-09-02 12:02:21,Vitória,BRCOMUNICACAO,YouTube,-20.361478,-40.39852,5G,n78 (3500MHz),629955,260,-79.4,-6.6,23.4
74,2025-09-06 20:06:12,São Paulo,BRASILCOM,YouTube,-23.459256,-46.534433,5G,n78 (3500MHz),634235,329,-79.2,-6.1,16.3
75,2025-09-05 17:34:09,Rio de Janeiro,BRASTEL,Ping,-22.955858,-43.187222,5G,n78 (3500MHz),677788,192,-96.1,-11.4,19.1
76,2025-09-02 11:59:23,Vitória,BRASILCOM,HTTP,-20.386663,-40.285661,5G,n78 (3500MHz),639095,111,-73.1,-6.9,5.7
77,2025-09-02 06:17:09,Vitória,BRASILCOM,Voz,-20.220304,-40.27909,5G,n78 (3500MHz),675006,177,-101.6,-5.0,19.1
78,2025-09-10 12:18:44,São Paulo,BRASTEL,Voz,-23.611729,-46.564692,5G,n78 (3500MHz),627500,694,-70.4,-5.8,19.9
79,2025-09-03 06:43:56,Vitória,BRCOMUNICACAO,HTTP,-20.292442,-40.346062,5G,n78 (3500MHz),660295,514,-79.3,-14.0,19.3
80,2025-09-06 07:10:13,Brasília,BRASTEL,Ping,-15.724512,-47.901955,5G,n78 (3500MHz),673341,459,-70.5,-10.3,3.7
81,2025-09-08 00:42:29,Brasília,BRASILCOM,HTTP,-15.86432,-47.870821,5G,n78 (3500MHz),656728,747,-82.9,-7.8,13.6
